Accession,LIB,sample,population,Lat,Lon
IS23574,IQSD,IS_23574,Gates,8.199999,34.259998
IS23669,IQSE,IS_23669,Gates,13.220002,-16.129999
IS24775,IQSP,IS_24775,Gates,10.880001,13.630001
IS24887,ISGL,IS_24887,Gates,9.289999,5.059999
IS25055,IQST,IS_25055,Gates,9.399999,-0.980001
IS27287,IQTA,IS_27287,Gates,13.166667,-0.816667
IS27599,IQTB,IS_27599,Gates,12.234359,14.637234
IS30001,IQTE,IS_30001,Gates,-20.909999,28.459999
IS30748,IQTG,IS_30748,Gates,11.029999,14.130001
IS33178,IQTL,IS_33178,Gates,10.510001,14.38
PI153852,IXPH,PI_153852,Gates,-3.349999905,38.56000137
PI213900,ISMI,PI_213900,BAP-TERRA,-0.023559,37.906193
PI217674,INWA,PI_217674,Gates,14.033333,35.383333
PI221581,INWD,PI_221581,Gates,13.029999,8.310001
PI221651,SRR8474806.1,PI_221651,TERRA-Cornell,8.930003,8.600003
PI229841,ISMW,PI_229841,BAP-TERRA,-23.833333,31.5
PI229847,INWG,PI_229847,Gates,-23.833333,31.5
PI229856,INWH,PI_229856,Gates,-23.833333,31.5
PI267573,IDWD,PI_267573,BAP-TERRA,7.677629,36.838441
PI273465,ISKJ,PI_273465,BAP-TERRA,9.081999,8.675277
PI273969,IECN,PI_273969,BAP-TERRA,9.145,40.489674
PI276816,IZPX,PI_276816,GatesRef,9.579999,41.860001
PI276837,INLJ,PI_276837,GatesRef,9.579999,41.860001
PI282842,IZLC,PI_282842,Gates,8.88,17.549999
PI285039,SRR8474699.1,PI_285039,TERRA-Cornell,11.06000042,7.699999809
PI285042,SRR8474700,PI_285042,TERRA-Cornell,11.06000042,7.699999809
PI297130,ISKX,PI_297130,BAP-TERRA,1.373333,32.290276
PI297155,ISLD,PI_297155,BAP-TERRA,1.373333,32.290276
PI300118,IFDN,PI_300118,BAP-TERRA,-30.559483,22.937506
PI300119,IFDP,PI_300119,BAP-TERRA,-30.559483,22.937506
PI303658,INLL,PI_303658,BAP-TERRA,12.862848,30.217677
PI308223,INWZ,PI_308223,Gates,-29.015021,29.871031
PI308262,INXA,PI_308262,Gates,-29.015021,29.871031
PI308282,IXQI,PI_308282,Gates,-29.015021,29.871031
PI308374,INXC,PI_308374,Gates,-29.015021,29.871031
PI308445,INXD,PI_308445,Gates,-29.015021,29.871031
PI329256,INLM,PI_329256,BAP-TERRA,15.31999969,38.91999817
PI329268,INXE,PI_329268,Gates,8.541389,39.268889
PI329286,INLN,PI_329286,BAP-TERRA,9.579999924,41.86000061
PI329299,INLP,PI_329299,BAP-TERRA,14.39999962,39.38000107
PI329300,IFJE,PI_329300,BAP-TERRA,14.39999962,39.38000107
PI329301,IFJF,PI_329301,JGI_Ref,14.39999962,39.38000107
PI329310,INLQ,PI_329310,BAP-TERRA,9.300000191,42.13000107
PI329319,INLR,PI_329319,BAP-TERRA,9.180000305,38.33000183
PI329326,INLS,PI_329326,BAP-TERRA,9.130000114,37.04000092
PI329333,IDUP,PI_329333,BAP-TERRA,9.130000114,37.04999924
PI329338,IDZX,PI_329338,BAP-TERRA,10,39.88999939
PI329351,INLT,PI_329351,BAP-TERRA,10.30000019,39.97999954
PI329394,INLU,PI_329394,BAP-TERRA,11.18000031,40.00999832
PI329403,IFJG,PI_329403,BAP-TERRA,11.13000011,39.63000107
PI329465,INLX,PI_329465,BAP-TERRA,9.399999619,38.84000015
PI329466,IFJH,PI_329466,BAP-TERRA,9.399999619,38.84000015
PI329471,INLY,PI_329471,BAP-TERRA,8.6,39.1166667
PI329473,ISLJ,PI_329473,BAP-TERRA,7.349999905,38.66999817
PI329478,IFLM,PI_329478,BAP-TERRA,7.849999905,36.08000183
PI329480,INLZ,PI_329480,BAP-TERRA,7.199999809,38.59999847
PI329501,IXCU,PI_329501,JGI_Ref,7.949999809,39.13000107
PI329506,INMA,PI_329506,BAP-TERRA,7.949999809,39.13000107
PI329510,INMB,PI_329510,BAP-TERRA,8.539999962,39.27000046
PI329511,INMC,PI_329511,BAP-TERRA,8.539999962,39.27000046
PI329517,INMD,PI_329517,BAP-TERRA,8.739999771,38.97999954
PI329518,INME,PI_329518,BAP-TERRA,8.109999657,38.36999893
PI329519,INMF,PI_329519,BAP-TERRA,8.109999657,38.36999893
PI329541,ISLQ,PI_329541,BAP-TERRA,8.529999733,37.97999954
PI329545,IFJJ,PI_329545,BAP-TERRA,8.270000458,37.77000046
PI329546,IFJK,PI_329546,BAP-TERRA,8.270000458,37.77000046
PI329550,IFJL,PI_329550,BAP-TERRA,7.670000076,36.84000015
PI329554,IFJN,PI_329554,BAP-TERRA,7.670000076,36.84000015
PI329569,INMG,PI_329569,BAP-TERRA,8.949999809,38.70999908
PI329570,INMH,PI_329570,BAP-TERRA,7.849999905,36.65000153
PI329583,IFEL,PI_329583,BAP-TERRA,7.960000038,37.43000031
PI329584,INMI,PI_329584,BAP-TERRA,7.960000038,37.43000031
PI329585,INMJ,PI_329585,BAP-TERRA,7.960000038,37.43000031
PI329605,INMK,PI_329605,BAP-TERRA,8.970000267,37.84999847
PI329614,IFJP,PI_329614,BAP-TERRA,9.909999847,38.31000137
PI329615,IFEM,PI_329615,BAP-TERRA,9.909999847,38.31000137
PI329617,IFEN,PI_329617,BAP-TERRA,9,37.31000137
PI329618,ISLX,PI_329618,BAP-TERRA,9,37.31000137
PI329632,ISMD,PI_329632,BAP-TERRA,9.079999924,36.54999924
PI329644,IFEP,PI_329644,BAP-TERRA,8.930000305,36.58000183
PI329645,IFEQ,PI_329645,BAP-TERRA,9.56000042,37.09999847
PI329646,IFER,PI_329646,BAP-TERRA,9.56000042,37.09999847
PI329673,IFES,PI_329673,BAP-TERRA,9.029999733,38.40000153
PI329695,IXPJ,PI_329695,Gates,6.179999828,35.56000137
PI329699,IFJQ,PI_329699,BAP-TERRA,6.960000038,35.75999832
PI329702,IFJR,PI_329702,BAP-TERRA,9.670000076,39.52999878
PI329710,ISMJ,PI_329710,BAP-TERRA,9.840000153,39.75999832
PI329711,IFJT,PI_329711,BAP-TERRA,9.840000153,39.75999832
PI329813,IXNM,PI_329813,Gates,14.13000011,38.70999908
PI329841,IFET,PI_329841,BAP-TERRA,12.22999954,37.29000092
PI329843,IFEU,PI_329843,BAP-TERRA,11.55000019,37.36000061
PI329864,IFEW,PI_329864,BAP-TERRA,9.300000191,38.75
PI329865,IFEX,PI_329865,BAP-TERRA,9.300000191,38.75
PI330036,INXH,PI_330036,Gates,9.399999,42.009998
PI330122,IFHF,PI_330122,BAP-TERRA,9.399999,42.009998
PI330167,IFEY,PI_330167,BAP-TERRA,11.82999992,39.68000031
PI330169,IFEZ,PI_330169,BAP-TERRA,11.82999992,39.68000031
PI330181,IFFA,PI_330181,BAP-TERRA,12.15999985,39.63000107
PI330182,IFFB,PI_330182,BAP-TERRA,12.15999985,39.63000107
PI330184,IFFC,PI_330184,BAP-TERRA,12.40999985,39.54999924
PI330195,IFJX,PI_330195,BAP-TERRA,14.05000019,39.56000137
PI330196,IFFD,PI_330196,BAP-TERRA,13.68000031,39.58000183
PI330199,IFFE,PI_330199,BAP-TERRA,14.27999973,39.45999908
PI330243,INXI,PI_330243,Gates,15.319999,38.919998
PI330747,IXML,PI_330747,Gates,7.15,40.71667
PI330796,IFFF,PI_330796,BAP-TERRA,7.050000191,37.59999847
PI330803,IFFG,PI_330803,BAP-TERRA,8.529999733,34.79999924
PI330807,ISMQ,PI_330807,BAP-TERRA,8.520000458,34.79000092
PI330822,IXPK,PI_330822,Gates,7.480000019,45.15999985
PI330833,IFJY,PI_330833,BAP-TERRA,9.149999619,36.40000153
PI330858,IFEH,PI_330858,BAP-TERRA,8.329999924,41.59000015
PI330885,INXK,PI_330885,Gates,12.029999,39.029998
PI337676,IXNN,PI_337676,Gates,5.210000038,39.83000183
PI337680,IFFH,PI_337680,BAP-TERRA,9.899999619,38.58000183
PI337684,IXNP,PI_337684,Gates,8.850000381,35.63999939
PI337689,IFFI,PI_337689,BAP-TERRA,9.039999962,40.90000153
PI365512,INML,PI_365512,BAP-TERRA,-30.559483,22.937506
PI452544,INMN,PI_452544,BAP-TERRA,9.145,40.489674
PI453106,IFEA,PI_453106,BAP-TERRA,9.145,40.489674
PI453177,IFEB,PI_453177,BAP-TERRA,9.145,40.489674
PI455280,IFED,PI_455280,BAP-TERRA,9.145,40.489674
PI482745,IPBS,PI_482745,Gates,-19.55,32.56666667
PI482785,IPBT,PI_482785,Gates,-19.83333333,30.55
PI505705,SRR8474630,PI_505705,TERRA-Cornell,-13.06666667,22.75
PI505722,ISKR,PI_505722,BAP-TERRA,-28.46666667,16.33333333
PI505735,ISKY,PI_505735,BAP-TERRA,-13.133897,27.849333
PI506069,ISLE,PI_506069,BAP-TERRA,8.619543,0.824782
PI506114,ISLK,PI_506114,BAP-TERRA,8.619543,0.824782
PI506122,ISLR,PI_506122,BAP-TERRA,7.25,0.8
PI510757,ISLY,PI_510757,BAP-TERRA,8.4,14.16666667
PI510903,IPBU,PI_510903,Gates,-22.328474,24.684866
PI510931,IXRB,PI_510931,Gates,-22.328474,24.684866
PI510952,IPBW,PI_510952,Gates,-22.328474,24.684866
PI510957,IPBX,PI_510957,Gates,-23.100002,26.829999
PI510961,IPBY,PI_510961,Gates,-22.328474,24.684866
PI510965,IPBZ,PI_510965,Gates,-22.328474,24.684866
PI510997,IPCA,PI_510997,Gates,-22.328474,24.684866
PI511002,IQTM,PI_511002,Gates,-22.328474,24.684866
PI513397,IXMM,PI_513397,Gates,13.35999966,12.65999985
PI513402,IXMN,PI_513402,Gates,13.5251,13.1019
PI513419,IXMP,PI_513419,Gates,13.94999981,11.31000042
PI513471,IPCC,PI_513471,Gates,13.71221,9.159453
PI513474,IXMQ,PI_513474,Gates,13.94999981,10.25
PI513488,IXMR,PI_513488,Gates,13.32436,12.01652
PI513514,IXMS,PI_513514,Gates,14.38000011,9.029999733
PI513564,IXMT,PI_513564,Gates,14.33,6.78
PI513568,IXMU,PI_513568,Gates,14.8263,8.2761
PI513611,IXMW,PI_513611,Gates,13.891436,6.181868
PI513639,IPCD,PI_513639,Gates,15.464294,6.2854
PI513651,IXMX,PI_513651,Gates,14.67000008,4.349999905
PI513665,IXPL,PI_513665,Gates,13.85000038,4.849999905
PI513676,IYYN,PI_513676,GatesRef,13.893812,5.344241
PI513684,IXNA,PI_513684,Gates,14.46347,5.250163
PI513688,IXPM,PI_513688,Gates,15.85999966,5.349999905
PI513707,IXNB,PI_513707,Gates,14.7589,5.7747
PI513709,IPCE,PI_513709,Gates,14.7589,5.7747
PI513763,IXPN,PI_513763,Gates,13.430583,2.995058
PI513769,IXPP,PI_513769,Gates,12.72999954,2.829999924
PI513807,IZKJ,PI_513807,Gates,13.84295,4.050269
PI513809,IXNC,PI_513809,Gates,14.02999973,4.210000038
PI513833,IXND,PI_513833,Gates,14.006401,3.210611
PI513843,IXPQ,PI_513843,Gates,15.18000031,3.50999999
PI513846,IXPR,PI_513846,Gates,14.28691,2.548415
PI513865,IXPS,PI_513865,Gates,14.42000008,1.549999952
PI513883,IXPT,PI_513883,Gates,14.56000042,0.709999979
PI513898,INMU,PI_513898,BAP-TERRA,9.30769,2.315834
PI514284,IXPU,PI_514284,Gates,15.18,-13.74
PI514293,IPCF,PI_514293,Gates,13.32,-13.29
PI514319,IZLA,PI_514319,Gates,14.16,-16.03
PI514353,IPCG,PI_514353,Gates,13.52,-13.51
PI514361,IXPW,PI_514361,Gates,12.94,-15.59
PI514390,IXPX,PI_514390,Gates,13.93000031,-13.43000031
PI514403,IXPY,PI_514403,Gates,14.73,-13.71
PI514412,IXPZ,PI_514412,Gates,13.03,-15.07
PI514456,INMW,PI_514456,BAP-TERRA,13.380001,-12.279999
PI514497,IXQA,PI_514497,Gates,12.57999992,-12.82999992
PI515633,IPCI,PI_515633,Gates,8.619543,0.824782
PI521833,IPCL,PI_521833,Gates,-13.254308,34.301525
PI522125,ISHE,PI_522125,Gates,13.443183,-15.31014
PI525049,IFGG,PI_525049,BAP-TERRA,-13.254308,34.301525
PI52606,IFMB,PI_52606,BAP-TERRA,-26.204103,28.047305
PI526796,IPCT,PI_526796,Gates,-19.015438,29.154858
PI526905,IDWU,PI_526905,BAP-TERRA,-20.16666667,28.75
PI527045,INNA,PI_527045,BAP-TERRA,-18.58333333,31.58333333
PI533752,IFGX,PI_533752,BAP-TERRA,-30.559483,22.937506
PI533792,IFGM,PI_533792,BAP-TERRA,9.029999733,38.70000076
PI533839,CZWZN,PI_533839,CASP-TERRA-PNNL,11.03999996,7.420000076
PI533863,IFLW,PI_533863,BAP-TERRA,15.454166,18.732206
PI533877,ISJM,PI_533877,Gates,12.31000042,3.710000038
PI533911,CZWZY,PI_533911,CASP-TERRA-PNNL,13.03999996,30.20000076
PI533956,ISGF,PI_533956,Gates,-4.038333,21.758663
PI533964,IFHL,PI_533964,BAP-TERRA,12.862823,30.217652
PI534115,ISHX,PI_534115,Gates,8.149999619,34.45999908
PI534123,CZXBZ,PI_534123,CASP-TERRA-PNNL,9.300000191,42.13000107
PI534124,CZXCA,PI_534124,CASP-TERRA-PNNL,12.35999966,39.52999878
PI534127,CZXCG,PI_534127,CASP-TERRA-PNNL,8.159999847,37.56000137
PI534133,IZGS,PI_534133,GatesRef,11.69999981,39.74000168
PI534148,ISIX,PI_534148,Gates,9.579999924,41.86000061
PI534155,ISJF,PI_534155,Gates,9.579999924,41.86000061
PI534157,IFHK,PI_534157,BAP-TERRA,9.579999924,41.86000061
PI562781,INNL,PI_562781,BAP-TERRA,12.65,-8
PI562979,IPDB,PI_562979,Gates,9.529999733,12.35000038
PI563009,IDWF,PI_563009,BAP-TERRA,11,7.849999905
PI563196,ISKZ,PI_563196,BAP-TERRA,-0.091702,34.767957
PI563208,IPDC,PI_563208,Gates,-0.605414,34.745126
PI563289,IZKC,PI_563289,Gates,-25.746111,28.188056
PI563302,IXQD,PI_563302,Gates,14.23999977,23.29000092
PI563329,IFEG,PI_563329,BAP-TERRA,8.739999,38.979999
PI563332,IFEI,PI_563332,BAP-TERRA,8.739999,38.979999
PI563338,IFEJ,PI_563338,BAP-TERRA,13.06000042,-3.059999943
PI563343,IZKD,PI_563343,Gates,13.57999992,-2.420000076
PI563348,IFJD,PI_563348,BAP-TERRA,12.46000004,-3.460000038
PI563350,IFEK,PI_563350,BAP-TERRA,11.65999985,-1.059999943
PI563361,IZKK,PI_563361,Gates,11.19999981,-4.300000191
PI563366,IZKF,PI_563366,Gates,11.14000034,-3.059999943
PI563483,IXRC,PI_563483,Gates,14.21000004,-16.54999924
PI563485,IZKG,PI_563485,Gates,15.28999996,-16.20999908
PI563487,IUHX,PI_563487,Gates,12.10999966,-6.909999847
PI568717,IFGE,PI_568717,BAP-TERRA,7.369722,12.354722
PI568998,IPDL,PI_568998,Gates,10.5,30.44000053
PI569007,IPDM,PI_569007,Gates,14.033333,35.383333
PI569040,IPDN,PI_569040,Gates,11.189999,24.149999
PI569050,JHGP,PI569050,Gates,11.18999958,24.14999962
PI569065,IPDQ,PI_569065,Gates,11.189999,24.149999
PI569077,JHGB,PI569077,Gates,11.189999,24.149999
PI569097,IFFK,PI_569097,BAP-TERRA,11.189999,24.149999
PI569148,IFFL,PI_569148,BAP-TERRA,11.189999,24.149999
PI569150,IPDS,PI_569150,Gates,11.189999,24.149999
PI569156,IPDT,PI_569156,Gates,11.189999,24.149999
PI569244,IFKA,PI_569244,BAP-TERRA,11.189999,24.149999
PI569284,ISGY,PI_569284,Gates,11.189999,24.149999
PI569847,IXNQ,PI_569847,Gates,15.460001,36.389999
PI569875,IZKZ,PI_569875,Gates,10.710003,33.479999
PI569886,IFFM,PI_569886,BAP-TERRA,10.550001,34.279998
PI570119,IXNR,PI_570119,Gates,11.369999,26.02
PI570125,IXNS,PI_570125,Gates,14.25,31.1
PI570127,IXNT,PI_570127,Gates,9.180003,31.379999
PI570130,IZKH,PI_570130,Gates,12.119999,27.440001
PI570131,IPDW,PI_570131,Gates,12.039999,30.520001
PI570145,ISKT,PI_570145,BAP-TERRA,12.02,29.389999
PI570149,IXNU,PI_570149,Gates,3.869999,31.629999
PI570162,IXNW,PI_570162,Gates,12.430003,31.489999
PI570206,IPDX,PI_570206,Gates,10.529999,30.52
PI570216,IPDY,PI_570216,Gates,10.529999,30.52
PI570218,IXNX,PI_570218,Gates,14.300001,22.566702
PI570228,IXNY,PI_570228,Gates,11.5,31.030686
PI570253,IPDZ,PI_570253,Gates,14.319999,33.419998
PI570260,IXNZ,PI_570260,Gates,18.090001,26.379999
PI570268,IPEA,PI_570268,Gates,12.899999,23.469999
PI570273,IPEB,PI_570273,Gates,12.539999,32.5
PI570278,IZKI,PI_570278,Gates,12.300001,24.17
PI570288,IXPA,PI_570288,Gates,10.479999,25.09
PI570296,IXPB,PI_570296,Gates,13.149999,22.219999
PI570393,IEAZ,PI_570393,BAP-TERRA,4.019999981,32.47000122
PI570494,IXPC,PI_570494,Gates,8.369999886,33.02999878
PI570498,IUHY,PI_570498,Gates,7.269999981,28.68000031
PI570504,IUHZ,PI_570504,Gates,8.420000076,25.59000015
PI570511,IUIA,PI_570511,Gates,13.5,23.5
PI570518,IXPD,PI_570518,Gates,6.550000191,30.5
PI570524,IXPE,PI_570524,Gates,13.03999996,30.20000076
PI570539,IXPF,PI_570539,Gates,9.409999847,34.06999969
PI570554,IXMF,PI_570554,Gates,16.39999962,33.25
PI570603,IXMG,PI_570603,Gates,12.34000015,28.70000076
PI570604,IXMH,PI_570604,Gates,14.27000046,32.16999817
PI571271,IPEJ,PI_571271,Gates,11.189999,24.149999
PI571273,IXPG,PI_571273,Gates,6.48,29.42
PI571292,IPEK,PI_571292,Gates,11.016667,29.716667
PI571302,IXMI,PI_571302,Gates,15.130001,35.380001
PI571370,IPEL,PI_571370,Gates,14.033333,35.383333
PI571377,IPEM,PI_571377,Gates,8.409999,32.060001
PI576385,ISIY,PI_576385,Gates,9.081999,8.675277
PI576399,IECZ,PI_576399,BAP-TERRA,10.5,30.44000053
PI585386,JHGQ,PI585386,Gates,9.800001,8.489999
PI585406,ISLT,PI_585406,BAP-TERRA,10.279999,13.189999
PI585416,IZKB,PI_585416,Gates,10.260002,10.340001
PI585448,ISMA,PI_585448,BAP-TERRA,9.399999,-0.839999
PI585452,ISMG,PI_585452,BAP-TERRA,10.77999973,-0.810000002
PI585454,IEAT,PI_585454,BAP-TERRA,10.520457,-0.439999
PI585461,ISMM,PI_585461,BAP-TERRA,7.946527,-1.023194
PI585467,ISMT,PI_585467,BAP-TERRA,9.909999,-0.209999
PI585572,IXNG,PI_585572,Gates,-4.130001,29.790001
PI585577,IEAX,PI_585577,BAP-TERRA,-3.099999,29.389999
PI585586,IXQE,PI_585586,Gates,-2.559999,28.950001
PI585587,IZKM,PI_585587,Gates,-2.059999,29.360001
PI585608,ISNA,PI_585608,BAP-TERRA,-1.929999948,30.05999947
PI585671,IXQF,PI_585671,Gates,15.01000023,-7.659999847
PI585681,IZKN,PI_585681,Gates,15.26000023,-8.479999542
PI585728,JHFR,PI585728,Gates,12.02999973,-9.710000038
PI585971,IXNH,PI_585971,Gates,7.559999943,1.019999981
PI585981,JHFZ,PI585981,Gates,7.300000191,1.909999967
PI585989,IZLK,PI_585989,Gates,8.4333339,2.5833335
PI586021,JHHE,PI586021,Gates,10.93000031,1.080000043
PI586035,IXNI,PI_586035,Gates,-10.17000008,28.75
PI586052,IXNJ,PI_586052,Gates,-15.72999954,34.40000153
PI586112,IXNK,PI_586112,Gates,14.35000038,-0.409999996
PI586128,IXNL,PI_586128,Gates,12.82999992,-2.230000019
PI586161,JHHF,PI586161,Gates,13.31000042,-1.529999971
PI586165,JHHG,PI586165,Gates,12.57999992,-1.299999952
PI586464,JHHI,PI586464,Gates,-25.20000076,31.20000076
PI586472,JHHK,PI586472,Gates,-28.39,29.95
PI586499,IFFN,PI_586499,BAP-TERRA,-23.60000038,29.15999985
PI586503,JHHL,PI586503,Gates,-26,29.76000023
PI586789,IPEY,PI_586789,Gates,10.833901,30.748876
PI597946,ISGQ,PI_597946,Gates,-1.169999957,36.47999954
PI597953,IXNF,PI_597953,Gates,12.51000023,7.730000019
PI609200,JHHN,PI609200,Gates,13.71000004,-6.409999847
PI612843,IPFJ,PI_612843,Gates,12.65,-8
PI619807,IDXU,PI_619807,BAP-TERRA,3.349999905,33.33000183
PI619838,IEBA,PI_619838,BAP-TERRA,2.619999886,31.93000031
PI619860,IXQQ,PI_619860,Gates,3.160000086,30.92000008
PI619900,IPFM,PI_619900,Gates,1.049999,34.299999
PI619909,IPFN,PI_619909,Gates,1.700001,34.069999
PI620072,IDWE,PI_620072,BAP-TERRA,-0.02,29.77000046
PI620119,JHHP,PI620119,Gates,0.4561088,31.0348037
PI620157,IFKM,PI_620157,BAP-TERRA,0.449999988,30.20000076
PI620509,IQTT,PI_620509,Gates,-4.820001,34.740001
PI620520,JHHQ,PI620520,Gates,-4.889999866,33.11000061
PI620578,JBPT,PI620578,Gates,-2.829999924,33.08000183
PI641909,IFLB,PI_641909,BAP-TERRA,12.862853,30.217682
PI646211,JBQA,PI646211,Gates,10.68999958,8.949999809
PI646231,IQUG,PI_646231,Gates,1.860000014,33.75
PI646239,JBQB,PI646239,Gates,1.470000029,32.29999924
PI646242,IFKJ,PI_646242,BAP-TERRA,2.150000095,33.25
PI646245,JBQC,PI646245,Gates,2.730000019,33.47999954
PI646251,IFKK,PI_646251,BAP-TERRA,2.779999971,32.29999924
PI646266,IFKL,PI_646266,BAP-TERRA,3.019999981,30.92000008
PI646296,JBQD,PI646296,Gates,1.220000029,33.40000153
PI646391,JBQE,PI646391,Gates,-1.700000048,34.27999878
PI647018,JBQF,PI647018,Gates,11.77000046,8.430000305
PI651104,IZLE,PI_651104,Gates,11.116667,-4.416667
PI655981,ISMB,PI_655981,GatesRef,17.570692,-3.996166
PI656015,ISGR,PI_656015,GatesRef,12.862846,30.217675
PI656035,ISIA,PI_656035,Gates,13.487388,2.144779
PI660559,IXPI,PI_660559,Gates,7,10.258881
PI660562,SRR8474772.1,PI_660562,TERRA-Cornell,12.43000031,9.100000381
PI660596,IXMJ,PI_660596,Gates,12.31000042,3.710000038
PI668846,IQUU,PI_668846,Gates,-25.746111,28.188056
PI668958,IQUW,PI_668958,Gates,-25.746111,28.188056
PI668996,IQUX,PI_668996,Gates,-25.746111,28.188056